,,2,EL,1045,Exponential mode,l,,,,,,0.49,-,P <0.001,-
,,,,,,,,,,,,,,,
,,3,EL,1045,Exponential mode,l,,,,,,0.25,-,P <0.001,-
,,,,,,,,,,,,,,,
,,4,EL,1045,Linear model,,,,,,,0.2,-,P <0.001,-
,,,,,,,,,,,,,,,
,,5,EL,1045,Power law model,,,,,,,0.62,-,P <0.001,-
,,,,,,,,,,,,,,,
Berendt et,al. (2020),1,EL,706,Power law model,,,,,,,0.515,-,P <0.05,-
,,,,,,,,,,,,,,,
Berg et al.,(2014),1,-,800,Non-linear model,with,quadratic,term,and,logarithmic,transformation,0.985,-,SV,-
,,,,,,,,,,,,,,,
,,2,-,800,Non-linear model,with,quadratic,term,and,logarithmic,transformation,0.994,-,SV,-
,,,,,,,,,,,,,,,
,,3,-,800,Second-degree pol,ynom,ial mode,l,,,,0.981,-,SV,-
,,,,,,,,,,,,,,,
,,4,-,800,Non-linear model,with,quadratic,term,and,logarithmic,transformation,0.998,-,SV,-
,,,,,,,,,,,,,,,
Bergström,& Di Fulvio (2014),1,EL,10,Linear model with,divi,sion opera,tion,,,,-,0.47,P = 0.017,-
,,,,,,,,,,,,,,,
,,2,EL,7,Linear model with,divi,sion opera,tion,,,,-,0.78,P = 0.022,-
,,,,,,,,,,,,,,,
Bergström,et al. (2016),1,EL,26,Linear model,,,,,,,-,0.6,P <0.001,-
,,,,,,,,,,,,,,,
,,2,EL,26,Linear model,,,,,,,0.7,0.68,SV,-
,,,,,,,,,,,,,,,
,,3,EL,26,Linear model,,,,,,,0.77,0.75,SV,-
,,,,,,,,,,,,,,,
Bergström,et al. (2022),1,EL,32,Linear model,,,,,,,-,0.676,SV,-
,,,,,,,,,,,,,,,
,,2,EL,32,Linear model,,,,,,,-,0.676,SV,-
,,,,,,,,,,,,,,,
,,3,EL,32,Linear model,,,,,,,-,0.457,SV,-
,,,,,,,,,,,,,,,
,,4,EL,32,Linear model,,,,,,,-,0.457,SV,-
,,,,,,,,,,,,,,,
,,5,EL,32,Linear model,,,,,,,-,0.454,SV,-
,,,,,,,,,,,,,,,
,,6,EL,32,Linear model,,,,,,,-,0.454,SV,-
,,,,,,,,,,,,,,,
,,7,EL,32,Linear model,,,,,,,-,0.452,SV,-
,,,,,,,,,,,,,,,
,,8,EL,32,Linear model,,,,,,,-,0.452,SV,-
,,,,,,,,,,,,,,,
Bilici et al.,(2019),1,EL,30,Linear model,,,,,,,0.7,-,P <0.05,30.968
,,,,,,,,,,,,,,,
,,2,EL,30,Linear model,,,,,,,0.63,-,P <0.05,34.959
,,,,,,,,,,,,,,,
,,3,EL,30,Linear model,,,,,,,0.6541,-,SV,-
,,,,,,,,,,,,,,,
,,4,EL,30,Linear model,,,,,,,0.2844,-,SV,-
,,,,,,,,,,,,,,,
,,5,EL,30,Linear model,,,,,,,0.7501,-,SV,-
,,,,,,,,,,,,,,,
,,6,EL,30,Linear model,,,,,,,0.6814,-,SV,-
,,,,,,,,,,,,,,,
Brewer et a,l. (2018),1,CL,165,Linear model,,,,,,,0.37,-,-,-
,,,,,,,,,,,,,,,
,,2,CL,165,Linear model,,,,,,,0.47,-,-,-
,,,,,,,,,,,,,,,
,,3,CL,158,Linear model,,,,,,,0.21,-,-,-
