from_block,to_block,distance_m
B01,B02,162
B01,B03,174
B01,B04,186
B01,B05,198
B01,B06,210
B01,B07,222
B01,B08,234
B01,B09,246
B02,B01,162
B02,B03,162
B02,B04,174
B02,B05,186
B02,B06,198
B02,B07,210
B02,B08,222
B02,B09,234
B03,B01,174
B03,B02,162
B03,B04,162
B03,B05,174
B03,B06,186
B03,B07,198
B03,B08,210
B03,B09,222
B04,B01,186
B04,B02,174
B04,B03,162
B04,B05,162
B04,B06,174
B04,B07,186
B04,B08,198
B04,B09,210
B05,B01,198
B05,B02,186
B05,B03,174
B05,B04,162
B05,B06,162
B05,B07,174
B05,B08,186
B05,B09,198
B06,B01,210
B06,B02,198
B06,B03,186
B06,B04,174
B06,B05,162
B06,B07,162
B06,B08,174
B06,B09,186
B07,B01,222
B07,B02,210
B07,B03,198
B07,B04,186
B07,B05,174
B07,B06,162
B07,B08,162
B07,B09,174
B08,B01,234
B08,B02,222
B08,B03,210
B08,B04,198
B08,B05,186
B08,B06,174
B08,B07,162
B08,B09,162
B09,B01,246
B09,B02,234
B09,B03,222
B09,B04,210
B09,B05,198
B09,B06,186
B09,B07,174
B09,B08,162
