,,,6,3.6664,0.0886,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Liski et al.,(20,20),1,5.188,5.445,0.261,6.168,2.241,1.775,4.504,3.574,5.159,3.496,2.224,0.424,0.948,1.215,89.39,58.62,2,24.12,36.65,2
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,8.451,2.682,4.062,6.828,3.901,2.737,71.87,31.35,2,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Louis & Ki,zha,(2021),1,13.86,0.2,9.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,17.7,0.34,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Magagnotti,et a,l. (2021),1,7.126,282.374,1.354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,0.167,198.547,0.637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,3,0.602,213.1,0.577,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,4,0.399,206.078,19.648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Manner et a,l. (,2023),1,42.168,20.992,4.216,17.677,3.139,16.007,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,61.2989,0.6681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
McEwan et,al.,(2016),1,2.149,0.0009389,2,0.217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,19.672,0.057,2,4.942,6.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,3,26.516,0.074,2,9.038,7.295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Mederski et,al.,(2016),1,7.892,1.2494,0.8587,1.3237,3.7631,5.255,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,8.607,6.99,3.901,2.891,7.72,9.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
Norihiro et,al.,(2018),1,4.536,63.801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,2,5.8,102.784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,3,4.754,63.611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,4,3.283,53.041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,5,1.073,82.817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,6,1.085,84.778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,7,23.684,0.497,0.734,0.027,3.963,64.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,8,0.847,1.189,83.087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,9,21.246,0.174,1.906,0.052,2.633,65.652,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,10,3.283,53.041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,11,4.368,63.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,12,1.052,83.114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10.559,2.3,0.094,62.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,14,4.979,1.455,0.003,73.665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,15,22.427,3.196,52.717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,16,20.197,2.064,40.857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
