11,0.3215,0.1762,0.4083,0.4968,0.6769,0.1613,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
12,1.9614,0.0526,0.1364,0.5575,0.0937,0.5109,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
13,0.3157,0.2755,0.2457,0.3986,0.8862,0.938,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
14,0.1072,0.0195,0.2616,0.3921,1.3296,1.415,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
15,0.1358,0.0475,0.3698,0.2524,1.0765,1.3304,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
16,0.2725,0.0403,0.2532,0.4359,0.8557,1.1221,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
17,0.0603,0.9065,0.441,0.9138,0.9039,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
18,0.7835,0.168,0.1906,0.9192,0.182,0.7969,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
19,0.3013,0.1277,0.5283,0.3883,0.776,0.7664,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
20,0.301,0.1436,0.3526,0.5618,0.6433,0.9283,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
21,2.8176,0.2758,0.3071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
22,0.3216,0.1763,0.4084,0.4971,0.677,0.3831,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
23,0.5257,0.0519,0.1372,0.5517,0.1064,0.521,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
24,3.1404,0.275,0.2441,0.3942,0.8826,0.9343,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
25,9.4062,0.0179,0.2626,0.3921,1.3334,1.4181,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
26,7.2354,0.0484,0.3652,0.2543,1.0715,1.3225,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
27,3.681,0.0418,0.2525,0.4351,0.8577,1.123,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
28,16.5662,0.9025,0.432,0.9167,0.9054,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
29,1.2789,0.1668,0.1898,0.9189,0.1834,0.7975,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
30,3.3738,0.1278,0.5388,0.3856,0.7826,0.7699,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
31,3.318,0.1406,0.3519,0.563,0.6422,0.9283,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
32,0.3548,0.2759,0.3079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
33,3.1242,0.1764,0.4108,0.4974,67.884,0.84,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
1,0.3,0.144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
1,3.552,0.279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
2,0.48,1.167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
3,230.777,0.361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
4,0.869,0.572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
5,0.085,0.994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
6,1.57,0.793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
7,0.152,0.876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
8,0.0202,1.382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
,,,,,,,,128,,,,,,,,,,,
