,9,3.225,0.487,0.065,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,10,0.868,0.41,0.065,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,11,0.318,0.494,0.065,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,12,0.069,0.48,0.06,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,13,0.425,0.577,0.064,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Polowy & Molińska-Glura (2023),1,9.36,19.217,0.197,0.148,0.411,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,2,18.268,0.272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,3,6.457,18.604,0.212,0.847,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Prinz et al. (2021),1,24.922,0.004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,2,17.813,0.004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,3,16.408,0.199,5.046×10-6,2,3.224×10-7,3,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,4,32.603,0.138,0.001,2,4.196×10-7,3,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Ramantswana et al. (2013),1,1.6472,38.33,15.3379,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,2,2.494,61.9498,26.5277,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,3,1.5782,83.9645,56.0942,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,4,2.0316,39.2977,31.1302,22.5507,2,32.9884,2,0.7631,2,4.3548,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,5,6.63929,18.28758,22.57935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,6,55.0268,18.7607,42.3987,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,7,7.874,23.5913,34.0938,317.7122,2,3.1287,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,8,1.5565,40.5616,32.6461,17.5555,2,46.3467,2,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,9,1.498,62.6611,26.0416,2,0.9736,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Rosińska et al. (2022),1,15.1335,1.6846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,2,25.3302,5.7387,0.1191,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,3,6.004,45.722,0.507,0.329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,4,18.1448,1.8201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,5,12.449,1.5411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,6,19.2,0.623,2.79,0.019,0.026,2,0.092,2,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Santos et al. (2022),1,10.43,57.07,62.96,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Santos et al. (2021),1,15,0.5845,0.1969,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
Santos et al. (2020),1,7.72,5.691×10-6,2,2.56×10-4,2,7.986×10-5,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,2,3.97,4.97×10-6,2,2.339×10-4,2,6.867×10-5,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
,3,215.54,0.0905,1.80×10-5,2,0.764,0.00109,2,5.857×10-5,-,-,-,-,-,-,-,-,-,-,-
