page,table,author,model,harvest_method,machine_type,base_machine,propulsion,dv_type,units,formula
115,1,Tolosana et al. (2023),1,B (FT),FB PB,RW,PW,(ODton EWH⁻¹),-a+bln(B₁),
115,1,Tolosana et al. (2023),2,B (FT),FB PB,RW,PW,(ODton EWH⁻¹),-a+bln(B₁),
115,1,Tolosana et al. (2023),3,B (FT),FB PB,RW,PW,(ODton SMH⁻¹)-D,-a+bI₁c+dB₁e,
115,1,Tolosana et al. (2018),1,FT,FB DT  PB,RW,PW,(ODton PMh⁻¹),-a+bI₁+cB₁+dO₇,
115,1,Tolosana et al. (2018),2,FT,FB DT  PB,RW,PW,(ODton PMh⁻¹),-a+bI₁+cB₁+dO₇,
115,1,Townsend et al. (2019),1,FT,FB DT  PB,RW,W,cycle (min),a+bN₃,
115,1,Townsend et al. (2019),2,FT,FB DT  PB,RW,W,cycle (min),a+bN₃,
115,1,Townsend et al. (2019),3,FT,FB DT  PB,RW,W,cycle (min),a+bN₃,
115,1,Townsend et al. (2019),4,CTL,H EB,CT,W,cycle (min),-a+bN₃+cA₁+dD₁+eN₄,
115,1,Townsend et al. (2019),5,FT,FB PB,CT,W,cycle (min),a+bN₃+cA₁,
115,1,Walsh & Strandgard (2014),1,CTL,H PB,CT,PW,(GMton PMh0⁻¹),a+bln(V₁),
115,1,Walsh & Strandgard (2014),2,CTL,H PB,CT,PW,(GMton PMh0⁻¹),a+bln(V₁),
115,1,Walsh et al. (2014),1,CTL,H PB,CT,PV,(m³ PMh0⁻¹),a+bln(V₁),
115,1,Walsh et al. (2014),2,CTL,H PB,CT,PV,(m³ PMh0⁻¹),a+bln(V₁),
115,1,Williams & Ackerman (2016),1,CTL,H PB,CT,PV,(m³ PMh0⁻¹),-a+bD₁-cS₁-dA₁,
115,1,Zimelis et al. (2020),1,CTL,H PB,RW,TU,(min tree⁻¹),a-bD₁+cD₁d,
115,1,Zimelis et al. (2020),2,CTL,H PB,RW,PV,(m³ h⁻¹),-a+bD₁-cD₁d,
115,1,Zimelis et al. (2018),1,CTL,H PB,RW,PV,(m³ h⁻¹),-a+bD₁,
115,1,Zimelis et al. (2018),2,CTL,H PB,RW,E,"delimb, buck (s)",a-bD₁+cD₁d,
115,1,Zimelis et al. (2019),1,CTL,H PB,RW,PV,(m³ h⁻¹),-a+bD₁-cD₁d+eD₁f,
115,1,Zimelis et al. (2019),2,CTL,H PB,RW,PV,(m³ h⁻¹),a-bD₁+cD₁d-eD₁f,
115,1,Zimelis et al. (2017a),1,CTL,H PB,RW,E,feed roller operation (s,,
115,1,Zimelis et al. (2017a),2,CTL,H PB,RW,E,feed roller operation (s,,
115,1,Zimelis et al. (2017a),3,CTL,H PB,RW,E,"feed roller operation,",,
