page,table,author,model,harvest_method,machine_type,base_machine,propulsion,dv_type,units,formula
107,1,Karpachev & Bykovskiy,1,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,,
107,1,Karpachev & Bykovskiy,2,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a+bln(M₇),
107,1,Karpachev & Bykovskiy,3,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,-a+bln(M₇),
107,1,Karpachev & Bykovskiy,4,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a-bM₆,
107,1,Karpachev & Bykovskiy,5,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a-bM₆,
107,1,Karpachev & Bykovskiy,6,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a-bM₆,
107,1,Karpachev & Bykovskiy,7,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a+bln(M₇),
107,1,Karpachev & Bykovskiy,8,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,-a+bln(M₇),
107,1,Karpachev & Bykovskiy,9,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,-a+bln(M₇),
107,1,Karpachev & Bykovskiy,10,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,-a+bV₁,
107,1,Karpachev & Bykovskiy,11,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a+bln(V₁),
107,1,Karpachev & Bykovskiy,12,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a+bln(V₁),
107,1,Karpachev & Bykovskiy,13,FT,FB Sim  PB,RW,PV,(m³ shift⁻¹)-D,a+bln(V₁),
107,1,Kim et al. (2017),1,FT,FB PB,CT,W,cycle (s),a+bN₆+cN₇+dA₂,
107,1,Kizha & Han (2016),1,FT,FB PB,CT,W,log cycle (centi-min),a+bN₃-cM₅-dM₅+eD₁+fO₇+gO₇+hO₇,
107,1,Kizha & Han (2016),2,FT,FB PB,CT,W,log cycle (centi-min),a+bN₃-cM₅-dM₅+eD₁-fO₇-gO₇,
107,1,Kizha & Han (2016),3,FT,FB PB,CT,W,log cycle (centi-min),a+bN₃-cM₅-dM₅+eD₁-fO₇-gO₇-hO₇,
107,1,Kizha & Han (2016),4,FT,FB PB,CT,W,ln cycle (centi-min),a-bN₃-cM₅-dM₅+eD₁+fO₇-gO₇+hO₇,
107,1,Kizha & Han (2016),5,FT,FB PB,CT,W,ln cycle (centi-min),a+bN₃-cM₅-dM₅+eD₁-fO₇-gO₇-hO₇,
107,1,Kizha & Han (2016),6,FT,FB PB,CT,W,ln cycle (centi-min),,
107,1,Kormanek & Baj (2018),1,CTL,H PB,RW,E,fell (s),a+bD₁,
