,,-,CTL,H,PB,RW,Ponsse Ergo,6,H7,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Ponsse Ergo,6,H73,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Sampo Ros,enlew 1066,HTH460,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,TBM Preus,84,Kesla 24,RHII,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Timberjack,1070D,HTH460,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Valmet 901,.3,351.1,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,
Santos et al.,(2022),-,CTL,H,PB,CT,Komatsu PC,200F-8M0,Komatsu,370E,Yes,-,-,Clearcutting,,,
,,,,,,,,,,,,,,,,,
Santos et al.,(2021),-,CTL,H,PB,CT,Komatsu PC,200F-8M0,Komatsu,model 370E,Yes,-,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Santos et al.,(2020),-,CTL,H,PB,CT,Komatsu PC,200F-8M0,Komatsu,370E,Yes,No,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Schweier et,al. (2015),-,FT,FB,EB,CT,Hitachi Zax,is 210,COMAF,GD350,No,-,T-3.8 hours,Includes Cop,"pice,",Unspecified,Harvesting
,,,,,,,,,,,,,,,,,
,,-,FT,FB,EB,CT,CAT 317 L,N,Cut-Tree,450,No,-,T-3.8 hours,Includes Cop,"pice,",Unspecified,Harvesting
,,,,,,,,,,,,,,,,,
,,-,FT,FB,EB,CT,Hitachi EX,135,Cut-Tree,450,No,-,T-2.5 hours,Includes Cop,"pice,",Unspecified,Harvesting
,,,,,,,,,,,,,,,,,
,,-,FT,FB,EB,CT,Hitachi EX,165,Biasi,,No,-,T-2.4 hours,Includes Cop,"pice,",Unspecified,Harvesting
,,,,,,,,,,,,,,,,,
,,-,FT,FB,EB,CT,Hitachi EX,165,Biasi,,No,-,T-2.1 hours,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Slugeň et al.,(2014),-,CTL,H,PB,RW,John Deere,1070D,JD H754,,No,No,T-7.03 hours,Includes Cop,"pice,",Thinning,
,,,,,,,,,,,,,,,,,
Soman et al.,(2020),-,FT,FB,PB,CT,John Deere,753G,-,,No,No,-,Clearcutting,,,
,,,,,,,,,,,,,,,,,
Soman et al.,(2019),-,FT,FB,PB,CT,John Deere,753G,-,,No,Yes,-,"Clearcutting,",Over,storey Remo,"val, Partial"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Harvesting,,,
,,,,,,,,,,,,,,,,,
Sperandio et,al. (2021) *FT: Trees could be cut in,-,*FT,FB,EB,CT,Volvo EC 1,40 CL,Westtech,C350,No,Yes,T-16.5 hours,"Coppice, Uns",pecif,ied Harvestin,g
,,,,,,,,,,,,,,,,,
,two parts,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Spinelli et al,. (2014),-,FT,FB,PB,CT,Tigercat 84,5C,-,,No,-,-,Unspecified,Harv,esting,
,,,,,,,,,,,,,,,,,
,,-,FT,FB DT,EB,CT,Posi-track R,C-100,Tree Ter,minator,No,-,-,Unspecified,Harv,esting,
,,,,,,,,,,,,,,,,,
Spinelli & D,e Arruda Moura,53,CTL,H,EB,CT,Komatsu PC,200-8,Komatsu,Forest 370,Yes,-,P-40 000 hours,Unspecified,Harv,esting,
,,,,,,,,,,,,,,,,,
(2019),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Spinelli et al,. (2022),-,CTL,H,PB,RW,Agama AH,6,Nisula 32,5H,No,No,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Rottne H8,,EGS 406,,No,No,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Sampo HR4,6,Kesla 18,RH,No,No,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Vimek 404,,Keto Fors,t V4,No,No,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Spinelli et al,. (2023),-,CTL,H,PB,RW,Rottne H8D,,EGS 406,,No,-,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Spinelli et al,. (2020a),-,CTL,H Sim,PB,RW,John Deere,1270E,-,,-,-,-,Selection Cut,ting,,
,,,,,,,,,,,,,,,,,
Spinelli et al,. (2020b),-,FT,FB,EB,CT,Liebherr 31,7,Westtech,Woodcracker 350,No,Yes,-,Unspecified,Harve,sting,
,,,,,,,,,,,,,,,,,
Stoilov et al.,(2021),-,CTL,SH,PB,RW,HSM 805 Z,L,Woody 5,0,No,-,-,Combined Re,gular,And Shelter,wood Cutt
