Di Fulvio & Bergs,tröm (2013),,Article,Europe,Sweden,Time study,Allegro Field Pc,,
,,,,,,,,,
Erber et al. (2016),,,Article,Europe,Austria,Time study,Algiz 7 Handheld,"Pc, Video",Documentation
,,,,,,,,,
Eriksson & Lindro,os (2014),,Article,Europe,Sweden,Follow-up study,-,,
,,,,,,,,,
Fernandez-Lacruz,et al. (2013),,Article,Europe,Sweden,Time study,Allegro Handheld,"Pc, Chron",ometer
,,,,,,,,,
Fernandez-Lacruz,et al. (2021),,Article,Europe,Sweden,Time study,Husky Hunter Fs3,Handheld,Pc
,,,,,,,,,
George et al. (2022,),,Article,North America,United States,Time study,-,,
,,,,,,,,,
Ghaffariyan (2013,),,Article,Australia,Australia,Time study,-,,
,,,,,,,,,
Ghaffariyan et al. (,2019),*Used several time studies,Article,Australia,Australia,*Time study,-,,
,,,,,,,,,
,,to create the model,,,,,,,
,,,,,,,,,
Ghaffariyan et al. (,2013),,Article,Australia,Australia,Time study,-,,
,,,,,,,,,
Ghaffariyan et al. (,2015),,Article,Australia,Australia,Time study,Handheld Pcs,,
,,,,,,,,,
Green et al. (2020),,,Article,North America,United States,Time study,"Video Cameras, M",anual Sto,pwatch
,,,,,,,,,
Grönlund & Eliass,on (2019),,Article,Europe,Sweden,Time study,Allegro Handheld,Pc,
,,,,,,,,,
Gülci et al. (2021),,,Article,Asia,Turkey,Time study,Selex 7064 Chron,ometers,
,,,,,,,,,
Han et al. (2018),,,Article,North America,United States,Time study,Stopwatches,,
,,,,,,,,,
Hiesl & Benjamin,(2013),,Article,North America,United States,Time study,Palm Tungsten E2,Handheld,Pc
,,,,,,,,,
Hiesl & Benjamin,(2015),,Article,North America,United States,Time study,Palm Tungsten E2,Handheld,Pc
,,,,,,,,,
Hiesl et al. (2015),,*The operator maintained,Article,North America,United States,*,-,,
,,,,,,,,,
,,a record of harvesting time,,,,,,,
,,,,,,,,,
Holzleitner & Kan,zian (2022),,Article,Europe,Austria,Time study,Video Cameras,,
,,,,,,,,,
Horváth et al. (201,6),,Proceedings Paper,Europe,Hungary,Time study,"Stopwatch, Field",Data Minut,e-Book And M
,,,,,,,,,
Jernigan et al. (201,5),,Article,Europe,United States,Time study,"Stopwatch, Video","Recorder,",Multidat Field
,,,,,,,,,
Jylhä & Bergström,(2016),,Article,Europe,Finland,Time study,Digital Video Cam,era,
,,,,,,,,,
Kärhä et al. (2018a,),,Article,Europe,Finland,Time study,Sony Hdr-Cx220E,Camera,
,,,,,,,,,
Kärhä et al. (2018b,),,Article,Europe,Finland,Follow-up study,-,,
,,,,,,,,,
Kärhä et al. (2019),,,Article,Europe,Finland,Time study,Gopro Hero Chdh,a-30 Came,ra
,,,,,,,,,
Karpachev & Byko,vskiy (2019),,Proceedings Paper,Europe/Asia,Russia,Simulation,-,,
,,,,,,,,,
Kim et al. (2017),,,Article,North America,United States,Time study,-,,
,,,,,,,,,
Kizha & Han (201,6),,Article,North America,United States,Time study,Stopwatch,,
,,,,,,,,,
Kormanek & Baj (,2018),,Article,Europe,Poland,Time study,"Stopwatch, Sony",Ccd Tr600,Camera
,,,,,,,,,
Kormanek & Kępa,(2016),,Article,Europe,Poland,Time study,"Stopwatch, Jvc Gz",-Mg Came,ra
,,,,,,,,,
Krč et al. (2015),,,Article,Europe,Slovenia,Time study,Handheld Pc,,
