Appendix 4,. Machines,an,d fo,res,t o,pe,rati,ons,,,,,,,,,
,,,,,,,,,,,,,,,,,
Machines and their,"characteristics, time th",e ma,chine,s were,rec,orde,"d, and t",ype of harv,est ope,ration. N,= nu,mbe,r of m,achin,es; H,"M = harvesting method, CTL =",cut-to-
,,,,,,,,,,,,,,,,,
"length, FT = full-tre","e, B (FT) = feller-bunc",her p,roduc,ing bu,ndle,s; M,= mac,"hine type, H",= harv,"ester, H",Sim =,har,vester,simula,"tion,",FB = feller-buncher (swing-boo,"m), FB"
,,,,,,,,,,,,,,,,,
DT = drive-to-tree,"feller-buncher, FB Sim",= f,eller-b,unch,er si,mula,"tion, H",W = harwa,"rder, S",H = skid,der-h,arve,ster;,BM =,base,"machine, EB = excavator-based",", PB ="
,,,,,,,,,,,,,,,,,
purpose-built; Pr =,"Propulsion type, CT =",con,tinuou,s trac,"ks, R",W,= rubbe,r wheels; D,eb = d,ebarking,; MT,C =,multi,tree cu,tting,. In the time recorded colum: P,= time
,,,,,,,,,,,,,,,,,
"without delays, T =",total time.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Authors,Note,N,HM,M,BM,Pr,Machine M,odel,Head Mo,del,,Deb,MTC,Time rec,orded,Operation,
,,,,,,,,,,,,,,,,,
Ackerman et al. (2018),,-,CTL,H,EB,CT,Volvo EC-,210-BF,Maskiner,SP-591LX,,Yes,No,P-323.08,min,Thinning,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,CT,TimberPro,TL-725B,Maskiner,SP-591LX,,Yes,No,P-240.35,min,Thinning,
,,,,,,,,,,,,,,,,,
Ackerman et al. (2021),,2,CTL,H,PB,RW,Ponsse Bea,r,Ponsse H,8,,No,-,12 month,s,Clearcutting,
,,,,,,,,,,,,,,,,,
,,2,CTL,H,PB,RW,Ponsse Bea,ver,Ponsse H,6,,No,-,12 month,s,Clearcutting,
,,,,,,,,,,,,,,,,,
Ackerman et al. (2022),,-,CTL,HW,PB,RW,Malwa 560,C,Log Max,928A,,No,No,-,,First Thinning From Below,
,,,,,,,,,,,,,,,,,
Acosta et al. (2021),,-,CTL,H,EB,CT,CAT 315D,,Log Max,5000,,No,No,P-6.408 h,ours,Third Thinning,
,,,,,,,,,,,,,,,,,
Acuna et al. (2017),,-,CTL,H,EB,CT,CAT 322L,,Waratah,HTH620,,Yes,No,-,,Final Felling,
,,,,,,,,,,,,,,,,,
Alam et al. (2014),,-,CTL,H,PB,CT,Valmet 475,EX,Rosin 997,(2006 mode,"l, no. 5)",No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,CT,Valmet 475,EX,Rosin 997,(2006 mode,"l, no. 2)",No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,,
Apăfăian et al. (2017),,-,CTL,H,PB,RW,Valmet 911,.4,Valmet 3,60.2,,No,No,P-14.134,hours,Clearcutting,
,,,,,,,,,,,,,,,,,
Berendt et al. (2020),,-,CTL,H,PB,RW,405FH4 8W,D,Waratah,H415,,No,No,P-912.4 m,in,Thinning,
,,,,,,,,,,,,,,,,,
Berg et al. (2014),*Whole tree is uprooted,-,CTL,H Sim,PB,RW,-,,John Deer,e H480C,,No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,,
,,-,*FT,FB Sim,PB,RW,Timberpro,TB830-B,-,,,No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,,
Bergström & Di Fulvio (2014,),-,CTL,H,PB,RW,Ecolog 560,D,MAMA,,,No,Yes,P-12.3 ho,urs,Thinning From Below,
,,,,,,,,,,,,,,,,,
,,-,FT,FB,PB,RW,Ecolog 560,D,C16,,,No,Yes,P-6.3 hou,rs,Thinning From Below,
,,,,,,,,,,,,,,,,,
Bergström et al. (2016),,-,B (FT),FB,PB,RW,Logman 81,1 FC,Nisula 28,0E+,,No,Yes,P-26.76 h,ours,Selective Thinning From Below,
