Rosińska et a,l. (2022),,Article,Europe,Poland,Time study,-,
,,,,,,,,
Santos et al.,(2022),,Article,South America,Brazil,-,-,
,,,,,,,,
Santos et al.,(2021),,Article,South America,Brazil,Time study,-,
,,,,,,,,
Santos et al.,(2020),,Article,South America,Brazil,Time study,Video Camera,"s, Mobile"
,,,,,,,,
Schweier et,al. (2015),,Article,Europe,Italy,Time study,Husky Hunter,Handheld
,,,,,,,,
Slugeň et al.,(2014),,Article,Europe,Slovakia,Time study,Digital Video,Camera
,,,,,,,,
Soman et al.,(2020),,Article,North America,United States,Time study,-,
,,,,,,,,
Soman et al.,(2019),,Article,North America,United States,Time study,-,
,,,,,,,,
Sperandio et,al. (2021),,Article,Europe,Italy,Time study,Minerva Chron,ometric T
,,,,,,,,
Spinelli et al,. (2014),,Article,Australia,Australia,Time study,-,
,,,,,,,,
Spinelli & D,e Arruda,Moura,Article,South America,Brazil,Follow-up study,-,
,,,,,,,,
(2019),,,,,,,,
,,,,,,,,
Spinelli et al,. (2022),,Article,Europe,Slovakia,Time study,"Stopwatch, Ca",mera
,,,,,,,,
Spinelli et al,. (2023),,Article,Europe,Slovakia,Time study,Stopwatches,
,,,,,,,,
Spinelli et al,. (2020a),,Article,Europe,Italy,Simulation,-,
,,,,,,,,
Spinelli et al,. (2020b),,Article,Europe,Italy,Time study,"Stopwatches,",Handheld
,,,,,,,,
Stoilov et al.,(2021),,Article,Europe,Bulgaria,Time study,Stopwatch,
,,,,,,,,
Strandgard &,Mitchell,(2018),Article,Australia,Australia,Time study,Camera,
,,,,,,,,
Strandgard &,Mitchell,(2019),Article,Australia,Australia,Time study,Tablet,
,,,,,,,,
Strandgard &,Mitchell,(2020),Article,Australia,Australia,Time study,Juniper Archer,Pda Han
,,,,,,,,
Strandgard e,t al. (2016,),Article,Australia,Australia,Time study,-,
,,,,,,,,
Strandgard e,t al. (2015,),Article,Australia,Australia,Time study,Digital Video,Camera
,,,,,,,,
Tajbos & Me,ssingerov,a (2014),Article,Europe,Slovakia,Time study,-,
,,,,,,,,
Tolosana et a,l. (2023),,Article,Europe,Spain,Time study,-,
,,,,,,,,
Tolosana et a,l. (2018),,Article,Europe,Spain,Time study,Husky Hunter,Handheld
,,,,,,,,
Townsend et,al. (2019),,Article,North America,United States,Time study,-,
,,,,,,,,
Walsh & Str,andgard (2,014),Article,Australia,Australia,Time study,Camera,
,,,,,,,,
Walsh et al.,(2014),,Article,Australia,Australia,Time study,Camera,
,,,,,,,,
Williams &,Ackerman,(2016),Article,Africa,South Africa,Time study,Trimble Geox,m Handhe
,,,,,,,,
Zimelis et al.,(2020),,Conference Paper,Europe,Latvia,Time study,-,
,,,,,,,,
Zimelis et al.,(2018),,Proceedings paper,Europe,Latvia,Time study,Allegro II Han,dheld Pc
,,,,,,,,
Zimelis et al.,(2019),,Proceedings paper,Europe,Latvia,Time study,Allegro Cx Ha,ndheld Pc
