machine_id,day,available
H1,1,1
H1,2,1
H1,3,1
H1,4,1
H1,5,1
H1,6,1
H1,7,1
H1,8,1
H1,9,1
H1,10,1
H1,11,1
H1,12,1
H1,13,1
H1,14,1
H1,15,1
H1,16,1
H1,17,1
H1,18,1
H1,19,1
H1,20,1
H1,21,1
H1,22,1
H1,23,1
H1,24,1
H1,25,1
H1,26,1
H1,27,1
H1,28,1
H1,29,1
H1,30,1
H1,31,1
H1,32,1
H1,33,1
H1,34,1
H1,35,1
H1,36,1
H1,37,1
H1,38,1
H1,39,1
H1,40,1
H1,41,1
H1,42,1
H2,1,1
H2,2,1
H2,3,1
H2,4,1
H2,5,1
H2,6,1
H2,7,1
H2,8,1
H2,9,1
H2,10,1
H2,11,1
H2,12,1
H2,13,1
H2,14,1
H2,15,1
H2,16,1
H2,17,1
H2,18,1
H2,19,1
H2,20,1
H2,21,1
H2,22,1
H2,23,1
H2,24,1
H2,25,1
H2,26,1
H2,27,1
H2,28,1
H2,29,1
H2,30,1
H2,31,1
H2,32,1
H2,33,1
H2,34,1
H2,35,1
H2,36,1
H2,37,1
H2,38,1
H2,39,1
H2,40,1
H2,41,1
H2,42,1
H3,1,1
H3,2,1
H3,3,1
H3,4,1
H3,5,1
H3,6,1
H3,7,1
H3,8,1
H3,9,1
H3,10,1
H3,11,1
H3,12,1
H3,13,1
H3,14,1
H3,15,1
H3,16,1
H3,17,1
H3,18,1
H3,19,1
H3,20,1
H3,21,1
H3,22,1
H3,23,1
H3,24,1
H3,25,1
H3,26,1
H3,27,1
H3,28,1
H3,29,1
H3,30,1
H3,31,1
H3,32,1
H3,33,1
H3,34,1
H3,35,1
H3,36,1
H3,37,1
H3,38,1
H3,39,1
H3,40,1
H3,41,1
H3,42,1
H4,1,1
H4,2,1
H4,3,1
H4,4,1
H4,5,1
H4,6,1
H4,7,1
H4,8,1
H4,9,1
H4,10,1
H4,11,1
H4,12,1
H4,13,1
H4,14,1
H4,15,1
H4,16,1
H4,17,1
H4,18,1
H4,19,1
H4,20,1
H4,21,1
H4,22,1
H4,23,1
H4,24,1
H4,25,1
H4,26,1
H4,27,1
H4,28,1
H4,29,1
H4,30,1
H4,31,1
H4,32,1
H4,33,1
H4,34,1
H4,35,1
H4,36,1
H4,37,1
H4,38,1
H4,39,1
H4,40,1
H4,41,1
H4,42,1
